Service,Category,Region,Base,Location,Month,Year,Amount,Base_clean,Base_core,Base_core_matched,Base_lat,Base_lon
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,December,2019,3657,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,January,2020,8791,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,February,2020,12285,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,March,2020,14806,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,April,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,May,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,June,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,July,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,August,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,September,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,October,2019,47640,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,November,2019,51729,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,December,2019,57316,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,January,2020,32976,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,February,2020,37771,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,March,2020,51962,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,April,2020,0,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,May,2020,0,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,June,2020,0,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,July,2020,-6960,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,August,2020,34524,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Hohenfels,Hohenfels Bowl,September,2020,63225,hohenfels,hohenfels,hohenfels,49.203278,11.849022
Army,Revenue,Europe,Kaiserslautern,Irish Pub,October,2019,180569,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,November,2019,104081,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,December,2019,87300,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,January,2020,109689,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,February,2020,125542,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,March,2020,91038,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,April,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,May,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,June,2020,105363,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,July,2020,110485,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,August,2020,138702,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Irish Pub,September,2020,166407,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,October,2019,31643,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,November,2019,18899,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,December,2019,16411,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,January,2020,8438,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,February,2020,19845,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,March,2020,13362,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,April,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,May,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,June,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,July,2020,5774,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,August,2020,21237,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Kazabra,September,2020,12241,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,October,2019,60405,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,November,2019,70060,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,December,2019,40875,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,January,2020,81266,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,February,2020,49693,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,March,2020,32189,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,April,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,May,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,June,2020,-45410,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,July,2020,153979,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,August,2020,65719,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Landstuhl Consolidated Club,September,2020,64952,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,October,2019,75717,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,November,2019,52707,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,December,2019,76715,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,January,2020,48788,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,February,2020,53534,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,March,2020,95816,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,April,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,May,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,June,2020,15051,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,July,2020,27306,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,August,2020,92554,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,Sembach CC,September,2020,131035,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,October,2019,10169,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,November,2019,7988,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,December,2019,12677,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,January,2020,11481,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,February,2020,6823,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,March,2020,13396,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,April,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,May,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,June,2020,0,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,July,2020,1093,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,August,2020,8545,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Kaiserslautern,ROB Java Cafe,September,2020,7003,kaiserslautern,kaiserslautern,,49.440066,7.749126
Army,Revenue,Europe,Livorno,Livorno Community Club,October,2019,1030,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,November,2019,1050,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,December,2019,0,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,January,2020,1271,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,February,2020,3002,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,March,2020,0,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,April,2020,0,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,May,2020,0,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,June,2020,0,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,July,2020,6845,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,August,2020,4703,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Livorno,Livorno Community Club,September,2020,6230,livorno,livorno,livorno,43.548473,10.310567
Army,Revenue,Europe,Schinnen,Schinnen Bowl,October,2019,19081,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,November,2019,14560,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,December,2019,107,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,January,2020,772,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,February,2020,6443,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,March,2020,5378,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,April,2020,-4504,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,May,2020,0,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,June,2020,0,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,July,2020,0,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,August,2020,0,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Schinnen,Schinnen Bowl,September,2020,4694,schinnen,schinnen,schinnen,50.94028,5.87832
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,October,2019,15924,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,November,2019,31984,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,December,2019,23984,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,January,2020,35443,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,February,2020,49882,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,March,2020,7438,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,April,2020,0,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,May,2020,0,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,June,2020,12784,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,July,2020,33715,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,August,2020,51685,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Galaxy Bowl,September,2020,52456,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,October,2019,50164,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,November,2019,34803,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,December,2019,56226,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,January,2020,38890,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,February,2020,33173,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,March,2020,22648,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,April,2020,0,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,May,2020,0,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,June,2020,4729,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,July,2020,17373,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,August,2020,14967,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Kelley Community Club,September,2020,33545,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,October,2019,86307,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,November,2019,84311,stuttgart,stuttgart,stuttgart,48.775418,9.181759
Army,Revenue,Europe,Stuttgart,Patch Community Club,December,2019,94761,stuttgart,stuttgart,stuttgart,48.775418,9.181759
